date,open,high,low,volume,close
1/29/1993,24.8395,24.8395,24.7159,1003200,24.8218
2/1/1993,24.8395,24.9984,24.8395,480500,24.9984
2/2/1993,24.9807,25.069,24.9278,201300,25.0513
2/3/1993,25.0866,25.3338,25.069,529400,25.3162
2/4/1993,25.4044,25.475,25.1219,531500,25.4221
2/5/1993,25.4044,25.4574,25.2632,492100,25.4044
2/8/1993,25.4044,25.4927,25.3691,596100,25.4044
2/9/1993,25.3162,25.3162,25.1749,122100,25.2279
2/10/1993,25.2279,25.2809,25.1572,379600,25.2632
2/11/1993,25.2985,25.4927,25.2985,19500,25.3868
2/12/1993,25.3515,25.3515,25.1926,42500,25.1926
2/16/1993,25.1219,25.1219,24.5217,374800,24.557
2/17/1993,24.557,24.5923,24.4511,210900,24.5394
2/18/1993,24.8218,24.8218,24.1863,378100,24.5217
2/19/1993,24.5217,24.61,24.4864,34900,24.61
2/22/1993,24.6806,24.7335,24.61,513600,24.6982
2/23/1993,24.7689,24.7865,24.557,373700,24.6806
2/24/1993,24.6982,24.9984,24.6982,26300,24.9984
2/25/1993,24.9807,25.069,24.9278,44500,25.0513
2/26/1993,25.1043,25.1043,24.9631,66200,25.0866
3/1/1993,25.1749,25.1749,24.9807,66500,25.016
3/2/1993,25.0337,25.3868,24.9984,182400,25.3868
3/3/1993,25.4221,25.5103,25.3868,280100,25.4927
3/4/1993,25.528,25.528,25.3515,89500,25.3515
3/5/1993,25.3868,25.4927,25.2632,40000,25.2809
3/8/1993,25.3338,25.8458,25.3338,50800,25.8458
3/9/1993,25.7928,25.8105,25.7046,169300,25.7575
3/10/1993,25.7575,25.8105,25.6516,194400,25.8105
3/11/1993,25.8281,25.8987,25.7046,70900,25.7399
3/12/1993,25.528,25.5456,25.3162,643600,25.475
3/15/1993,25.4574,25.5986,25.4574,310800,25.5986
3/16/1993,25.5986,25.6692,25.5986,30800,25.5986
3/17/1993,25.5633,25.5633,25.4044,21800,25.4397
3/18/1993,25.5456,25.7046,25.5456,59300,25.5986
3/19/1993,25.7019,25.7019,25.56,66900,25.56
3/22/1993,25.3117,25.4714,25.294,183400,25.4181
3/23/1993,25.4891,25.5069,25.4359,55200,25.4714
3/24/1993,25.4359,25.5778,25.3117,37200,25.4714
3/25/1993,25.4891,25.6842,25.4536,110100,25.631
3/26/1993,25.6133,25.631,25.4714,101500,25.4891
3/29/1993,25.5069,25.7197,25.5069,87100,25.5955
3/30/1993,25.631,25.6665,25.5955,56000,25.6665
3/31/1993,25.7374,25.8084,25.6488,111600,25.6488
4/1/1993,25.6842,25.6842,25.5069,129500,25.56
4/2/1993,25.3472,25.3472,25.0279,59400,25.0279
4/5/1993,25.2231,25.2231,25.0812,172200,25.1521
4/6/1993,25.2053,25.2053,25.0102,129700,25.0812
4/7/1993,25.1166,25.1698,25.0634,28000,25.1698
4/8/1993,25.2762,25.2762,25.0279,180800,25.1343
4/12/1993,25.3827,25.5069,25.3472,348500,25.4891
4/13/1993,25.4714,25.631,25.4536,146100,25.5423
4/14/1993,25.56,25.5778,25.4891,119600,25.5069
4/15/1993,25.4891,25.56,25.4004,148600,25.5069
4/16/1993,25.5246,25.56,25.4714,47900,25.5069
4/19/1993,25.5069,25.5778,25.3827,157000,25.4004
4/20/1993,25.365,25.4004,25.1166,279500,25.2762
4/21/1993,25.3295,25.3295,25.1876,67900,25.2585
4/22/1993,25.1521,25.365,24.9393,97700,24.9393
4/23/1993,24.886,24.957,24.7974,106000,24.8328
4/26/1993,24.8505,24.9393,24.5667,62600,24.6377
4/27/1993,24.6022,24.9038,24.6022,156800,24.9038
4/28/1993,24.8683,24.9215,24.8151,85900,24.8505
4/29/1993,24.9038,24.957,24.7619,85000,24.957
4/30/1993,25.0457,25.1343,24.9924,88500,24.9924
5/3/1993,25.0279,25.1521,24.9215,80500,25.1521
5/4/1993,25.2053,25.3295,25.1698,149100,25.2408
5/5/1993,25.2408,25.4004,25.2408,109000,25.3117
5/6/1993,25.2762,25.294,25.2053,54700,25.2231
5/7/1993,25.2408,25.2408,25.1343,68000,25.1698
5/10/1993,25.2053,25.365,25.2053,113900,25.2231
5/11/1993,25.2231,25.3295,25.1521,42600,25.3295
5/12/1993,25.2231,25.3117,25.2231,31000,25.294
5/13/1993,25.1876,25.1876,24.9747,129100,24.9924
5/14/1993,24.9924,25.0634,24.957,63500,24.9747
5/17/1993,25.0457,25.0634,24.9393,34000,25.0634
5/18/1993,25.0812,25.0989,24.957,105200,25.0457
5/19/1993,25.0457,25.56,24.886,50200,25.56
5/20/1993,25.56,25.631,25.5069,98200,25.631
5/21/1993,25.6488,25.6842,25.3827,221400,25.4004
5/24/1993,25.4536,25.5955,25.4536,30500,25.5069
5/25/1993,25.6133,25.6133,25.56,191800,25.56
5/26/1993,25.631,25.8971,25.6133,102400,25.8793
5/27/1993,25.9148,25.9148,25.7552,53800,25.7907
5/28/1993,25.7729,25.7729,25.5423,79100,25.6665
6/1/1993,25.7552,26.0035,25.7197,28300,25.9148
6/2/1993,25.8438,25.968,25.7374,20300,25.8793
6/3/1993,25.8261,25.8261,25.7374,21600,25.7907
