date,open,high,low,close,volume
1/29/1993,24.8395,24.8395,24.7159,24.8218,1003200
2/1/1993,24.8395,24.9984,24.8395,24.9984,480500
2/2/1993,24.9807,25.069,24.9278,25.0513,201300
2/3/1993,25.0866,25.3338,25.069,25.3162,529400
2/4/1993,25.4044,25.475,25.1219,25.4221,531500
2/5/1993,25.4044,25.4574,25.2632,25.4044,492100
2/8/1993,25.4044,25.4927,25.3691,25.4044,596100
2/9/1993,25.3162,25.3162,25.1749,25.2279,122100
2/10/1993,25.2279,25.2809,25.1572,25.2632,379600
2/11/1993,25.2985,25.4927,25.2985,25.3868,19500
2/12/1993,25.3515,25.3515,25.1926,25.1926,42500
2/16/1993,25.1219,25.1219,24.5217,24.557,374800
2/17/1993,24.557,24.5923,24.4511,24.5394,210900
2/18/1993,24.8218,24.8218,24.1863,24.5217,378100
2/19/1993,24.5217,24.61,24.4864,24.61,34900
2/22/1993,24.6806,24.7335,24.61,24.6982,513600
2/23/1993,24.7689,24.7865,24.557,24.6806,373700
2/24/1993,24.6982,24.9984,24.6982,24.9984,26300
2/25/1993,24.9807,25.069,24.9278,25.0513,44500
2/26/1993,25.1043,25.1043,24.9631,25.0866,66200
3/1/1993,25.1749,25.1749,24.9807,25.016,66500
3/2/1993,25.0337,25.3868,24.9984,25.3868,182400
3/3/1993,25.4221,25.5103,25.3868,25.4927,280100
3/4/1993,25.528,25.528,25.3515,25.3515,89500
3/5/1993,25.3868,25.4927,25.2632,25.2809,40000
3/8/1993,25.3338,25.8458,25.3338,25.8458,50800
3/9/1993,25.7928,25.8105,25.7046,25.7575,169300
3/10/1993,25.7575,25.8105,25.6516,25.8105,194400
3/11/1993,25.8281,25.8987,25.7046,25.7399,70900
3/12/1993,25.528,25.5456,25.3162,25.475,643600
3/15/1993,25.4574,25.5986,25.4574,25.5986,310800
3/16/1993,25.5986,25.6692,25.5986,25.5986,30800
3/17/1993,25.5633,25.5633,25.4044,25.4397,21800
3/18/1993,25.5456,25.7046,25.5456,25.5986,59300
3/19/1993,25.7019,25.7019,25.56,25.56,66900
3/22/1993,25.3117,25.4714,25.294,25.4181,183400
3/23/1993,25.4891,25.5069,25.4359,25.4714,55200
3/24/1993,25.4359,25.5778,25.3117,25.4714,37200
3/25/1993,25.4891,25.6842,25.4536,25.631,110100
3/26/1993,25.6133,25.631,25.4714,25.4891,101500
3/29/1993,25.5069,25.7197,25.5069,25.5955,87100
3/30/1993,25.631,25.6665,25.5955,25.6665,56000
3/31/1993,25.7374,25.8084,25.6488,25.6488,111600
4/1/1993,25.6842,25.6842,25.5069,25.56,129500
4/2/1993,25.3472,25.3472,25.0279,25.0279,59400
4/5/1993,25.2231,25.2231,25.0812,25.1521,172200
4/6/1993,25.2053,25.2053,25.0102,25.0812,129700
4/7/1993,25.1166,25.1698,25.0634,25.1698,28000
4/8/1993,25.2762,25.2762,25.0279,25.1343,180800
4/12/1993,25.3827,25.5069,25.3472,25.4891,348500
4/13/1993,25.4714,25.631,25.4536,25.5423,146100
4/14/1993,25.56,25.5778,25.4891,25.5069,119600
4/15/1993,25.4891,25.56,25.4004,25.5069,148600
4/16/1993,25.5246,25.56,25.4714,25.5069,47900
4/19/1993,25.5069,25.5778,25.3827,25.4004,157000
4/20/1993,25.365,25.4004,25.1166,25.2762,279500
4/21/1993,25.3295,25.3295,25.1876,25.2585,67900
4/22/1993,25.1521,25.365,24.9393,24.9393,97700
4/23/1993,24.886,24.957,24.7974,24.8328,106000
4/26/1993,24.8505,24.9393,24.5667,24.6377,62600
4/27/1993,24.6022,24.9038,24.6022,24.9038,156800
4/28/1993,24.8683,24.9215,24.8151,24.8505,85900
4/29/1993,24.9038,24.957,24.7619,24.957,85000
4/30/1993,25.0457,25.1343,24.9924,24.9924,88500
5/3/1993,25.0279,25.1521,24.9215,25.1521,80500
5/4/1993,25.2053,25.3295,25.1698,25.2408,149100
5/5/1993,25.2408,25.4004,25.2408,25.3117,109000
5/6/1993,25.2762,25.294,25.2053,25.2231,54700
5/7/1993,25.2408,25.2408,25.1343,25.1698,68000
5/10/1993,25.2053,25.365,25.2053,25.2231,113900
5/11/1993,25.2231,25.3295,25.1521,25.3295,42600
5/12/1993,25.2231,25.3117,25.2231,25.294,31000
5/13/1993,25.1876,25.1876,24.9747,24.9924,129100
5/14/1993,24.9924,25.0634,24.957,24.9747,63500
5/17/1993,25.0457,25.0634,24.9393,25.0634,34000
5/18/1993,25.0812,25.0989,24.957,25.0457,105200
5/19/1993,25.0457,25.56,24.886,25.56,50200
5/20/1993,25.56,25.631,25.5069,25.631,98200
5/21/1993,25.6488,25.6842,25.3827,25.4004,221400
5/24/1993,25.4536,25.5955,25.4536,25.5069,30500
5/25/1993,25.6133,25.6133,25.56,25.56,191800
5/26/1993,25.631,25.8971,25.6133,25.8793,102400
5/27/1993,25.9148,25.9148,25.7552,25.7907,53800
5/28/1993,25.7729,25.7729,25.5423,25.6665,79100
6/1/1993,25.7552,26.0035,25.7197,25.9148,28300
6/2/1993,25.8438,25.968,25.7374,25.8793,20300
6/3/1993,25.8261,25.8261,25.7374,25.7907,21600
6/4/1993,25.7197,25.7197,25.5955,25.7019,32000
6/7/1993,25.7552,25.7552,25.6133,25.6133,121400
6/8/1993,25.5423,25.5423,25.3827,25.3827,104500
6/9/1993,25.4714,25.5778,25.4359,25.4714,43300
6/10/1993,25.4536,25.5069,25.4004,25.4891,17900
6/11/1993,25.5778,25.631,25.4891,25.5955,647400
6/14/1993,25.631,25.6488,25.56,25.56,64200
6/15/1993,25.5955,25.6133,25.5069,25.5069,142400
6/16/1993,25.5069,25.56,25.4359,25.56,330900
6/17/1993,25.6133,25.6488,25.56,25.6488,37400
6/18/1993,25.6355,25.6355,25.439,25.439,58500
6/21/1993,25.5105,25.5105,25.4569,25.4926,29300
6/22/1993,25.5283,25.5283,25.4748,25.5105,137500
6/23/1993,25.5105,25.5105,25.2782,25.2782,227600
6/24/1993,25.3497,25.6177,25.3497,25.6177,243700
6/25/1993,25.5998,25.6712,25.5819,25.5998,44800
6/28/1993,25.7249,25.8856,25.6891,25.8856,439900
6/29/1993,25.8499,25.8499,25.7249,25.7606,207500
6/30/1993,25.7963,25.8499,25.7249,25.7606,437600
7/1/1993,25.7963,25.7963,25.6534,25.6891,605700
7/2/1993,25.5998,25.6177,25.4569,25.5462,285400
7/6/1993,25.5105,25.5819,25.2425,25.2782,246400
7/7/1993,25.2604,25.3854,25.2604,25.3497,343700
7/8/1993,25.3676,25.6891,25.3318,25.6355,248200
7/9/1993,25.6355,25.707,25.5819,25.707,378200
7/12/1993,25.6712,25.707,25.6355,25.6891,373700
7/13/1993,25.707,25.7784,25.5283,25.6712,389600
7/14/1993,25.6891,25.8321,25.6712,25.7606,617300
7/15/1993,25.7427,25.7427,25.5998,25.6534,443800
7/16/1993,25.6712,25.6891,25.5462,25.5819,216400
7/19/1993,25.5819,25.5819,25.4926,25.5641,188200
7/20/1993,25.5462,25.6355,25.4211,25.6355,68500
7/21/1993,25.5998,25.6177,25.5283,25.6177,142700
7/22/1993,25.5819,25.6177,25.439,25.439,632400
7/23/1993,25.4926,25.5641,25.4748,25.5641,286200
7/26/1993,25.6355,25.7606,25.6355,25.707,121300
7/27/1993,25.7249,25.7427,25.5998,25.6891,92800
7/28/1993,25.6355,25.6891,25.5998,25.6355,30800
7/29/1993,25.6891,25.8499,25.6534,25.7784,331000
7/30/1993,25.7784,25.7784,25.5998,25.6355,75300
8/2/1993,25.6712,25.7963,25.6712,25.707,41300
8/3/1993,25.7606,25.8321,25.6355,25.7249,81600
8/4/1993,25.7249,25.7784,25.6534,25.7249,434000
8/5/1993,25.7249,25.7249,25.6355,25.6712,36800
8/6/1993,25.7427,25.7606,25.6712,25.707,402300
8/9/1993,25.7784,25.9213,25.7249,25.8499,828200
8/10/1993,25.8321,25.8499,25.7963,25.8321,604900
8/11/1993,25.8142,25.9035,25.8142,25.8321,542200
8/12/1993,25.9035,25.9035,25.6712,25.7606,303700
8/13/1993,25.7784,25.8142,25.7784,25.7963,103500
8/16/1993,25.8142,26.0107,25.8142,25.9392,241800
8/17/1993,25.9213,26.0285,25.9213,26.0285,369300
8/18/1993,26.1179,26.2251,26.1,26.1714,414300
8/19/1993,26.1893,26.1893,26.1357,26.1714,28500
8/20/1993,26.1179,26.1893,26.1,26.1893,80700
8/23/1993,26.0822,26.1536,26.0822,26.1357,15600
8/24/1993,26.1357,26.4215,26.1357,26.4215,273400
8/25/1993,26.4215,26.5466,26.3858,26.4394,242300
8/26/1993,26.4573,26.6002,26.3501,26.4573,120000
8/27/1993,26.3858,26.4394,26.3858,26.4394,25700
8/30/1993,26.4573,26.5824,26.4573,26.5466,183500
8/31/1993,26.5287,26.6181,26.493,26.6181,66500
9/1/1993,26.5287,26.6359,26.5287,26.5824,136500
9/2/1993,26.6002,26.6359,26.4752,26.493,472400
9/3/1993,26.4752,26.5466,26.4394,26.5109,630500
9/7/1993,26.5109,26.5466,26.2965,26.3323,196400
9/8/1993,26.3323,26.3323,26.0643,26.2429,269900
9/9/1993,26.1357,26.3144,26.1357,26.2965,239200
9/10/1993,26.368,26.5466,26.3323,26.5287,106500
9/13/1993,26.6181,26.6181,26.5466,26.5466,66900
9/14/1993,26.4752,26.4752,26.3501,26.4394,184500
9/15/1993,26.3323,26.5287,26.2429,26.5109,101000
9/16/1993,26.4752,26.493,26.3858,26.4037,54300
9/17/1993,26.3888,26.4067,26.3169,26.3528,200900
9/20/1993,26.3888,26.4427,26.1371,26.1371,57800
9/21/1993,26.1731,26.209,25.7776,26.0472,318200
9/22/1993,26.1371,26.2989,26.1012,26.2629,439700
9/23/1993,26.3348,26.4247,26.2989,26.4067,88500
9/24/1993,26.3708,26.3888,26.2989,26.3348,53500
9/27/1993,26.5326,26.6224,26.5326,26.6224,274600
9/28/1993,26.6405,26.6405,26.5505,26.5685,158300
9/29/1993,26.5685,26.6405,26.4427,26.4786,221000
9/30/1993,26.4786,26.5326,26.3708,26.4247,99300
10/1/1993,26.3888,26.5865,26.3528,26.5505,22700
10/4/1993,26.5865,26.5865,26.5146,26.5865,1038500
10/5/1993,26.6405,26.6405,26.4607,26.5505,436500
10/6/1993,26.5685,26.6764,26.5326,26.5326,209200
10/7/1993,26.5685,26.5685,26.4427,26.4607,59400
10/8/1993,26.5326,26.5505,26.2989,26.4966,54400
10/11/1993,26.5505,26.6045,26.5505,26.5505,467100
10/12/1993,26.5865,26.6045,26.5685,26.5865,26200
10/13/1993,26.6045,26.6045,26.5505,26.5865,139100
10/14/1993,26.6944,26.9281,26.6224,26.9281,108100
10/15/1993,27.0539,27.1258,26.982,27.0719,1502500
10/18/1993,27.0539,27.0539,26.964,27,722400
10/19/1993,26.964,27.0179,26.8022,26.8022,880100
10/20/1993,26.8921,26.8921,26.7843,26.8382,230400
10/21/1993,26.8562,26.8562,26.7663,26.8022,56200
10/22/1993,26.8382,26.946,26.6764,26.6764,390700
10/25/1993,26.6944,26.7843,26.6224,26.7483,114500
10/26/1993,26.7303,26.7483,26.6405,26.7303,186200
10/27/1993,26.6944,26.7663,26.6944,26.7483,118400
10/28/1993,26.7843,27.0179,26.7843,26.946,129600
10/29/1993,26.9281,26.964,26.9101,26.946,80700
11/1/1993,26.9101,27.0359,26.9101,27.0179,36400
11/2/1993,26.982,27.0359,26.8382,27,262100
11/3/1993,26.982,26.982,26.5326,26.6584,479100
11/4/1993,26.6584,26.6584,26.3528,26.3708,130400
11/5/1993,26.2989,26.4966,26.191,26.4966,363200
11/8/1993,26.5146,26.6045,26.4427,26.5326,367600
11/9/1993,26.7124,26.7303,26.5326,26.5505,246900
11/10/1993,26.5505,26.7483,26.4786,26.7483,46500
11/11/1993,26.7483,26.8202,26.6584,26.6764,88900
11/12/1993,26.7303,26.8921,26.7124,26.8022,108200
11/15/1993,26.8562,26.8562,26.7124,26.7843,243300
11/16/1993,26.8382,26.9281,26.7303,26.9101,492600
11/17/1993,26.9281,26.9281,26.6944,26.7663,39600
11/18/1993,26.7303,26.7843,26.6224,26.6944,240800
11/19/1993,26.6045,26.6764,26.5865,26.6405,106000
11/22/1993,26.5685,26.5865,26.3888,26.4786,165300
11/23/1993,26.6224,26.6405,26.4786,26.6224,89700
11/24/1993,26.6944,26.7483,26.6584,26.7303,77200
11/26/1993,26.8022,26.8022,26.7303,26.7483,1019800
11/29/1993,26.8202,26.8741,26.6405,26.6405,517500
11/30/1993,26.6224,26.7843,26.6045,26.6584,230000
12/1/1993,26.8022,26.8202,26.6944,26.6944,379200
12/2/1993,26.7483,26.7843,26.6944,26.7663,352000
12/3/1993,26.7483,26.8741,26.7483,26.8741,306000
12/6/1993,26.9101,27,26.9101,26.964,99500
12/7/1993,26.964,26.982,26.9101,26.946,88800
12/8/1993,26.946,26.946,26.9101,26.946,146700
12/9/1993,26.946,26.982,26.8202,26.8562,416500
12/10/1993,26.8741,26.8741,26.7483,26.8022,412900
12/13/1993,26.8022,26.964,26.7663,26.964,273200
12/14/1993,26.982,26.982,26.7663,26.7663,41900
12/15/1993,26.8022,26.8202,26.7303,26.7303,82600
12/16/1993,26.8382,26.8382,26.7843,26.8202,78200
12/17/1993,26.8761,26.9847,26.858,26.9666,104700
12/20/1993,26.9485,27.0209,26.9304,27.0028,68800
12/21/1993,26.9666,26.9666,26.8761,26.9123,205700
12/22/1993,26.9847,27.1114,26.9304,27.0933,410300
12/23/1993,27.0752,27.1295,27.039,27.0752,533800
12/27/1993,27.0752,27.22,27.0752,27.22,447100
12/28/1993,27.2019,27.2924,27.1838,27.2743,880600
12/29/1993,27.2924,27.3104,27.22,27.2381,266700
12/30/1993,27.22,27.22,27.0752,27.1295,219900
12/31/1993,27.1838,27.22,26.9666,26.9847,312900
1/3/1994,26.9847,27.0209,26.8761,26.9123,960900
1/4/1994,26.9485,27.0209,26.9123,27.0209,164300
1/5/1994,27.0571,27.0933,26.9485,27.0752,710900
1/6/1994,27.1114,27.1295,27.039,27.0752,201000
1/7/1994,27.1295,27.2562,27.0571,27.2381,775500
1/10/1994,27.2743,27.5638,27.2019,27.5638,593700
1/11/1994,27.5458,27.5458,27.419,27.5096,295200
1/12/1994,27.5276,27.5276,27.3286,27.419,158400
1/13/1994,27.3466,27.401,27.3104,27.3466,244300
